city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Segovia,40.94805,-4.11833,Spain,ES,Castilla-León,,51011,51011
Mahón,39.887,4.161111,Spain,ES,Balearic Islands,,28592,28592
Villarrobledo,39.2666,-2.6,Spain,ES,Castilla-La Mancha,,25241,25241
Los Isidros,39.41890,-1.292036,Spain,ES,Valencia,,337,337
La Yesa,39.89111,-0.96222,Spain,ES,Valencia,,227,227
Vilafranca,40.425,-0.255833,Spain,ES,Valencia,,2227,2227
Villahermosa del Río,40.20295,-0.41828,Spain,ES,Valencia,,488,488
Móra d'Ebre,41.09333,0.6427,Spain,ES,Catalunya,,5642,5652
Lécera,41.203,-0.7107,Spain,ES,Arago,,616,616
Ejea de los Caballeros,42.12916, -1.1372,Spain,ES,Aragon,,16605,16605
Mallén,41.9,-1.416667,Spain,ES,Catalunya,,3083,3083
Vielha,42.7023,0.79581,Spain,ES,Catalunya,,3628,3628
Sort,42.41666,1.133333,Spain,ES,Catalunya,,2164,2164
Dos Hermanas,37.28361,-5.922222,Spain,ES,Andalucía,,138981,138981
Chiclana de la Frontera,36.416667,-6.15,Spain,ES,Andalucía,,88709,88709
Almendralejo,38.68305,-6.409167,Spain,ES,Extremadura,,33948,33948
Palencia,42.016667,-4.5333,Spain,ES,Castilla-León,,76331,76311
Cazorla,37.9,-3,Spain,ES,Andalucía,,7574,7574
Santiago de la Espada,38.10916,-2.55694,Spain,ES,Andalucía,,1088,1088
